"pi_key","primary.subject","herfindahl","weighted.primary.subject","weighted.herfindahl"
"nih_1883195","BIOC",0.638994050838291,"BIOC",0.269816286222739
"nih_1883204","CHEM",0.456781573817585,"CHEM",0.410856339860846
"nih_1883210","BIOC",0.403572667360389,"AGRI",0.308834254509214
"nih_1883212","MULT",0.182291666666667,"AGRI",0.236225871634766
"nih_1883228","MEDI",0.448086483986588,"MEDI",0.410760672793488
"nih_1883235","BIOC",0.348882797087113,"CHEM",0.194620240030648
"nih_1883238","IMMU",0.455066568047337,"IMMU",0.60677452527773
"nih_1883241","BIOC",0.396909381036365,"OTHER",0.227074742975635
"nih_1883246","BIOC",0.274822485207101,"AGRI",0.234861890918785
"nih_1883247","BIOC",0.601850521880686,"BIOC",0.215637071897504
"nih_1883254","OTHER",0.345983607681756,"OTHER",0.418672128345631
"nih_1883260","BIOC",0.833841385967586,"BIOC",0.418925399413589
"nih_1883264","BIOC",0.639172335600907,"PHAR",0.485360826986799
"nih_1883268","BIOC",0.263728395061728,"OTHER",0.26268706467743
"nih_1883277","BIOC",0.244320130315501,"CENG",0.271022635037515
"nih_1883278","BIOC",0.591109963269054,"CHEM",0.237784778406613
"nih_1883283","BIOC",0.361111111111111,"AGRI",0.251470325526861
"nih_1883522","MEDI",0.438368055555556,"MEDI",0.292894448083321
"nih_1883586","BIOC",0.374355925485533,"IMMU",0.425168109686908
"nih_1883755","NEUR",0.251615881809788,"NEUR",0.429556280846924
"nih_1884018","BIOC",0.394326438058217,"MULT",0.242609525702071
"nih_1884048","BIOC",0.302479303590563,"CHEM",0.206057682144713
"nih_1884066","BIOC",0.574245323129252,"MULT",0.308442704197749
"nih_1884132","BIOC",0.228116064976278,"IMMU",0.178486944018719
"nih_1884148","IMMU",0.31468621399177,"IMMU",0.450400075586477
"nih_1884338","NEUR",0.22201402586018,"NEUR",0.374021685260853
"nih_1884429","BIOC",0.203418686175888,"PHAR",0.290187563622076
"nih_1884510","NEUR",0.284407864654778,"NEUR",0.505393229178905
"nih_1884558","BIOC",0.491726119698771,"AGRI",0.293527183408995
"nih_1884566","BIOC",0.445181932966024,"PHAR",0.531947390268733
"nih_1884576","OTHER",0.866946088099934,"OTHER",0.955626115818074
"nih_1884664","BIOC",0.509938131631253,"MULT",0.222292282714174
"nih_1884668","BIOC",0.338070987654321,"MEDI",0.187547921960086
"nih_1884925","BIOC",0.203599577085736,"NEUR",0.326800796673019
"nih_1884985","BIOC",0.492951388888889,"AGRI",0.220308498483483
"nih_1885067","BIOC",0.185584997952607,"CENG",0.155143877595519
"nih_1885090","BIOC",0.225717930461612,"AGRI",0.162898304974741
"nih_1885103","BIOC",0.24574845261703,"AGRI",0.486737003509895
"nih_1885108","BIOC",0.450911458333333,"AGRI",0.624043149524533
"nih_1885109","BIOC",0.517975915423931,"PHAR",0.194089380939423
"nih_1885119","BIOC",0.238405206516248,"NEUR",0.306135122713605
"nih_1885134","BIOC",0.402271468144044,"MULT",0.173676021821399
"nih_1885223","BIOC",0.324788411458333,"PHAR",0.32537479956822
"nih_1885232","BIOC",0.451388888888889,"AGRI",0.193559387138678
"nih_1885282","BIOC",0.521193771626298,"MULT",0.202553168878246
"nih_1885391","BIOC",0.637641059027778,"BIOC",0.296609051571364
"nih_1885431","BIOC",0.389756944444445,"CHEM",0.186367992488922
"nih_1885647","BIOC",0.236418947318569,"CENG",0.174304484400396
"nih_1885825","BIOC",0.441080729166667,"NEUR",0.310827451955484
"nih_1885900","BIOC",0.631439830834294,"OTHER",0.279505970703256
"nih_1885915","BIOC",0.463757396449704,"PHAR",0.368599518249448
"nih_1886130","BIOC",0.503420857988166,"AGRI",0.225300012869688
"nih_1886222","BIOC",0.330285017527816,"CHEM",0.151623223945701
"nih_1886379","CHEM",0.463243016173073,"CENG",0.513054442250614
"nih_1886400","BIOC",0.251533445247934,"PHAR",0.231263265155941
"nih_1886589","IMMU",0.276788053192801,"IMMU",0.305319599539535
"nih_1887015","BIOC",0.473922902494331,"NEUR",0.302361752450484
"nih_1887016","BIOC",0.302801111922734,"PHAR",0.150775243940091
"nih_1887138","BIOC",0.352407193814345,"NEUR",0.26087893878631
"nih_1887314","BIOC",0.242811414930556,"AGRI",0.319455184206092
"nih_1887344","BIOC",0.415893728395062,"MEDI",0.303926120341864
"nih_1887427","BIOC",0.5291990550221,"IMMU",0.193704758270838
"nih_1887597","BIOC",0.516573711482932,"AGRI",0.187770840028032
"nih_1887602","BIOC",0.353055555555556,"IMMU",0.344058605261798
"nih_1887605","BIOC",0.361669141852924,"MEDI",0.141248518561318
"nih_1887617","BIOC",0.577546296296296,"AGRI",0.497419378592774
"nih_1887625","BIOC",0.421936573465941,"CENG",0.165074301812594
"nih_1887659","BIOC",0.414715335169881,"NEUR",0.324584298531077
"nih_1887673","BIOC",0.666253798388162,"AGRI",0.234753083945912
"nih_1887684","BIOC",1,"BIOC",1
"nih_1887689","BIOC",0.755917159763314,"BIOC",0.312881885162542
"nih_1887690","BIOC",0.328055555555556,"MULT",0.271030257148924
"nih_1887694","BIOC",0.324862617653811,"AGRI",0.305195796854095
"nih_1887698","BIOC",0.46358789919396,"AGRI",0.182661446643496
"nih_1887701","BIOC",0.537768162970975,"MULT",0.337587818378238
"nih_1887712","BIOC",0.30084940312213,"MULT",0.174067658602624
"nih_1887713","BIOC",0.549866666666667,"AGRI",0.292301829617888
"nih_1887720","BIOC",0.658139650008663,"AGRI",0.285566217902801
"nih_1887728","BIOC",0.626671810699588,"BIOC",0.269484715277005
